x,y,spawned,detected,attained,discovery,attainment,discover_completion
3.25,-3.75,1970-01-01 01:07:05,1970-01-01 01:07:11,1970-01-01 01:07:51,6.0,40.0,46.0
-2.75,-1.25,1970-01-01 01:07:15,1970-01-01 01:07:15,1970-01-01 01:07:37,0.0,22.0,22.0
1.25,3.75,1970-01-01 01:07:55,1970-01-01 01:08:23,1970-01-01 01:08:48,28.0,25.0,53.0
2.25,-0.25,1970-01-01 01:07:35,1970-01-01 01:08:19,1970-01-01 01:09:03,44.0,44.0,88.0
-1.75,-3.75,1970-01-01 01:08:15,1970-01-01 01:08:16,1970-01-01 01:08:27,1.0,11.0,12.0
1.25,3.75,1970-01-01 01:07:55,1970-01-01 01:08:23,1970-01-01 01:08:48,28.0,25.0,53.0
2.25,3.75,1970-01-01 01:08:05,,,,,
-1.75,-3.75,1970-01-01 01:08:15,1970-01-01 01:08:16,1970-01-01 01:08:27,1.0,11.0,12.0
1.25,-1.75,1970-01-01 01:08:26,,,,,
3.75,1.75,1970-01-01 01:08:36,,,,,
-0.25,-2.75,1970-01-01 01:08:46,1970-01-01 01:08:46,1970-01-01 01:09:54,0.0,68.0,68.0
-3.75,-1.25,1970-01-01 01:08:56,1970-01-01 01:08:56,1970-01-01 01:09:10,0.0,14.0,14.0
-2.25,2.25,1970-01-01 01:09:06,1970-01-01 01:09:06,1970-01-01 01:09:24,0.0,18.0,18.0
1.75,-3.75,1970-01-01 01:09:16,1970-01-01 01:09:23,1970-01-01 01:09:41,7.0,18.0,25.0
0.75,-2.75,1970-01-01 01:09:26,1970-01-01 01:09:31,1970-01-01 01:10:03,5.0,32.0,37.0
3.25,3.75,1970-01-01 01:09:36,,,,,
-2.25,-1.25,1970-01-01 01:09:46,1970-01-01 01:09:52,,6.0,,
1.25,4.25,1970-01-01 01:09:56,,,,,
2.75,-3.75,1970-01-01 01:00:03,1970-01-01 01:00:03,1970-01-01 01:02:24,0.0,141.0,141.0
1.25,-4.25,1970-01-01 01:00:13,1970-01-01 01:00:13,1970-01-01 01:00:56,0.0,43.0,43.0
0.25,3.75,1970-01-01 01:00:23,1970-01-01 01:00:23,1970-01-01 01:01:28,0.0,65.0,65.0
1.25,-3.75,1970-01-01 01:00:33,1970-01-01 01:00:33,1970-01-01 01:00:51,0.0,18.0,18.0
-1.75,-3.75,1970-01-01 01:00:43,1970-01-01 01:00:43,1970-01-01 01:01:00,0.0,17.0,17.0
2.75,-1.25,1970-01-01 01:00:53,1970-01-01 01:02:46,1970-01-01 01:03:06,113.0,20.0,133.0
0.25,1.75,1970-01-01 01:01:03,1970-01-01 01:01:03,1970-01-01 01:02:30,0.0,87.0,87.0
1.75,-2.75,1970-01-01 01:01:13,1970-01-01 01:01:19,1970-01-01 01:01:51,6.0,32.0,38.0
2.25,2.25,1970-01-01 01:01:33,1970-01-01 01:01:39,1970-01-01 01:02:42,6.0,63.0,69.0
-2.25,-2.25,1970-01-01 01:01:43,1970-01-01 01:01:44,1970-01-01 01:01:56,1.0,12.0,13.0
-0.75,-3.75,1970-01-01 01:01:53,1970-01-01 01:01:54,1970-01-01 01:01:56,1.0,2.0,3.0
-0.75,0.25,1970-01-01 01:02:03,1970-01-01 01:02:04,1970-01-01 01:02:20,1.0,16.0,17.0
1.75,-1.75,1970-01-01 01:02:14,,,,,
1.75,0.75,1970-01-01 01:02:24,1970-01-01 01:02:29,1970-01-01 01:03:00,5.0,31.0,36.0
-2.25,2.25,1970-01-01 01:02:34,1970-01-01 01:03:21,1970-01-01 01:04:22,47.0,61.0,108.0
-2.75,-4.25,1970-01-01 01:02:44,1970-01-01 01:03:18,1970-01-01 01:03:45,34.0,27.0,61.0
-3.25,0.25,1970-01-01 01:02:54,1970-01-01 01:03:16,1970-01-01 01:04:24,22.0,68.0,90.0
1.25,3.25,1970-01-01 01:03:04,1970-01-01 01:03:21,1970-01-01 01:03:37,17.0,16.0,33.0
-2.75,-2.25,1970-01-01 01:03:14,1970-01-01 01:03:14,1970-01-01 01:03:31,0.0,17.0,17.0
0.75,2.75,1970-01-01 01:03:24,1970-01-01 01:03:29,1970-01-01 01:03:55,5.0,26.0,31.0
-2.75,-0.75,1970-01-01 01:03:34,1970-01-01 01:03:35,1970-01-01 01:04:32,1.0,57.0,58.0
0.25,-3.75,1970-01-01 01:03:44,1970-01-01 01:03:50,1970-01-01 01:04:35,6.0,45.0,51.0
-2.25,1.75,1970-01-01 01:06:25,1970-01-01 01:06:31,1970-01-01 01:06:46,6.0,15.0,21.0
-2.25,-4.25,1970-01-01 01:08:26,1970-01-01 01:08:26,1970-01-01 01:08:43,0.0,17.0,17.0
3.75,-4.25,1970-01-01 01:04:14,1970-01-01 01:04:35,1970-01-01 01:04:55,21.0,20.0,41.0
1.75,-3.75,1970-01-01 01:04:24,1970-01-01 01:04:25,1970-01-01 01:04:44,1.0,19.0,20.0
0.75,0.75,1970-01-01 01:04:34,1970-01-01 01:04:35,1970-01-01 01:04:54,1.0,19.0,20.0
0.25,-0.75,1970-01-01 01:04:55,1970-01-01 01:05:00,1970-01-01 01:06:13,5.0,73.0,78.0
2.25,3.25,1970-01-01 01:05:05,1970-01-01 01:05:10,1970-01-01 01:05:49,5.0,39.0,44.0
-0.75,0.75,1970-01-01 01:05:15,1970-01-01 01:05:18,1970-01-01 01:05:41,3.0,23.0,26.0
0.25,3.25,1970-01-01 01:07:46,,,,,
2.75,-4.25,1970-01-01 01:05:35,,,,,
4.25,-1.75,1970-01-01 01:05:45,,,,,
0.25,-1.75,1970-01-01 01:05:55,,,,,
-2.75,0.25,1970-01-01 01:06:05,1970-01-01 01:06:06,1970-01-01 01:06:29,1.0,23.0,24.0
-3.25,-1.25,1970-01-01 01:06:15,1970-01-01 01:06:16,1970-01-01 01:07:04,1.0,48.0,49.0
-2.25,1.75,1970-01-01 01:06:25,1970-01-01 01:06:31,1970-01-01 01:06:46,6.0,15.0,21.0
1.25,-2.25,1970-01-01 01:06:35,1970-01-01 01:06:47,,12.0,,
3.25,2.75,1970-01-01 01:06:55,1970-01-01 01:07:40,1970-01-01 01:08:44,45.0,64.0,109.0
-1.25,0.75,1970-01-01 01:09:37,1970-01-01 01:09:37,1970-01-01 01:09:43,0.0,6.0,6.0
-3.75,0.25,1970-01-01 01:07:16,1970-01-01 01:07:16,1970-01-01 01:07:23,0.0,7.0,7.0
2.75,-3.25,1970-01-01 01:07:26,1970-01-01 01:07:48,1970-01-01 01:08:06,22.0,18.0,40.0
0.25,1.25,1970-01-01 01:07:36,,,,,
0.25,3.25,1970-01-01 01:07:46,,,,,
0.75,3.25,1970-01-01 01:08:06,1970-01-01 01:08:25,1970-01-01 01:09:34,19.0,69.0,88.0
0.25,0.75,1970-01-01 01:08:16,1970-01-01 01:08:16,1970-01-01 01:08:23,0.0,7.0,7.0
-2.25,-4.25,1970-01-01 01:08:26,1970-01-01 01:08:26,1970-01-01 01:08:43,0.0,17.0,17.0
-2.75,0.75,1970-01-01 01:08:36,1970-01-01 01:08:53,1970-01-01 01:09:11,17.0,18.0,35.0
0.75,-2.25,1970-01-01 01:08:46,1970-01-01 01:08:47,,1.0,,
-2.75,1.75,1970-01-01 01:08:56,1970-01-01 01:09:06,1970-01-01 01:09:54,10.0,48.0,58.0
-1.75,-1.25,1970-01-01 01:09:06,1970-01-01 01:09:12,,6.0,,
-0.25,1.25,1970-01-01 01:09:16,1970-01-01 01:09:22,1970-01-01 01:09:30,6.0,8.0,14.0
-3.75,3.25,1970-01-01 01:09:27,1970-01-01 01:09:46,,19.0,,
-1.25,0.75,1970-01-01 01:09:37,1970-01-01 01:09:37,1970-01-01 01:09:43,0.0,6.0,6.0
-3.75,1.25,1970-01-01 01:09:47,1970-01-01 01:09:52,,5.0,,
1.25,0.75,1970-01-01 01:09:57,,,,,
2.25,-1.75,1970-01-01 01:00:02,,,,,
2.25,2.75,1970-01-01 01:00:12,1970-01-01 01:00:12,1970-01-01 01:00:46,0.0,34.0,34.0
-2.75,2.75,1970-01-01 01:00:22,1970-01-01 01:01:00,1970-01-01 01:01:21,38.0,21.0,59.0
1.25,3.75,1970-01-01 01:00:32,1970-01-01 01:00:32,1970-01-01 01:00:57,0.0,25.0,25.0
2.75,3.75,1970-01-01 01:00:42,1970-01-01 01:00:42,1970-01-01 01:01:07,0.0,25.0,25.0
1.25,2.25,1970-01-01 01:06:35,1970-01-01 01:06:40,1970-01-01 01:07:45,5.0,65.0,70.0
-0.25,-3.25,1970-01-01 01:05:55,1970-01-01 01:05:55,1970-01-01 01:07:11,0.0,76.0,76.0
0.75,0.75,1970-01-01 01:01:12,,,,,
0.75,-2.25,1970-01-01 01:01:23,1970-01-01 01:01:27,1970-01-01 01:02:00,4.0,33.0,37.0
2.25,-4.25,1970-01-01 01:09:26,1970-01-01 01:09:27,1970-01-01 01:09:35,1.0,8.0,9.0
-0.25,4.25,1970-01-01 01:01:43,1970-01-01 01:01:43,1970-01-01 01:02:01,0.0,18.0,18.0
0.25,-0.75,1970-01-01 01:01:53,1970-01-01 01:01:53,1970-01-01 01:03:27,0.0,94.0,94.0
0.75,-3.75,1970-01-01 01:06:55,1970-01-01 01:07:01,1970-01-01 01:07:17,6.0,16.0,22.0
2.25,0.75,1970-01-01 01:02:13,1970-01-01 01:02:20,1970-01-01 01:02:39,7.0,19.0,26.0
0.75,1.25,1970-01-01 01:02:23,1970-01-01 01:02:28,1970-01-01 01:03:43,5.0,75.0,80.0
-0.25,-3.25,1970-01-01 01:05:55,1970-01-01 01:05:55,1970-01-01 01:07:11,0.0,76.0,76.0
-1.25,4.25,1970-01-01 01:02:43,1970-01-01 01:02:50,1970-01-01 01:03:06,7.0,16.0,23.0
-2.25,-2.25,1970-01-01 01:02:53,1970-01-01 01:02:54,1970-01-01 01:03:10,1.0,16.0,17.0
1.25,-0.25,1970-01-01 01:03:03,1970-01-01 01:03:10,1970-01-01 01:03:33,7.0,23.0,30.0
-3.25,2.25,1970-01-01 01:03:13,1970-01-01 01:03:19,1970-01-01 01:03:33,6.0,14.0,20.0
0.75,-3.25,1970-01-01 01:03:24,1970-01-01 01:03:39,1970-01-01 01:04:53,15.0,74.0,89.0
-2.75,-2.25,1970-01-01 01:03:34,1970-01-01 01:04:10,1970-01-01 01:04:32,36.0,22.0,58.0
-0.75,3.75,1970-01-01 01:03:44,1970-01-01 01:03:44,1970-01-01 01:04:02,0.0,18.0,18.0
2.75,-3.75,1970-01-01 01:03:54,1970-01-01 01:04:20,1970-01-01 01:05:03,26.0,43.0,69.0
-3.75,-2.25,1970-01-01 01:04:04,1970-01-01 01:04:36,1970-01-01 01:06:25,32.0,109.0,141.0
3.75,-3.75,1970-01-01 01:04:14,1970-01-01 01:04:20,1970-01-01 01:04:36,6.0,16.0,22.0
2.75,3.25,1970-01-01 01:04:24,1970-01-01 01:05:52,1970-01-01 01:06:25,88.0,33.0,121.0
