x,y,spawned,detected,attained,discovery,attainment,total_time
-2.25,-1.75,1970-01-01 01:00:02,1970-01-01 01:00:17,1970-01-01 01:01:15,15,58,73
-2.75,-0.75,1970-01-01 01:00:12,1970-01-01 01:00:13,1970-01-01 01:01:23,1,70,71
0.25,2.25,1970-01-01 01:00:22,1970-01-01 01:00:28,1970-01-01 01:00:51,6,23,29
-0.75,-3.75,1970-01-01 01:00:32,,,,,
0.25,3.25,1970-01-01 01:00:42,,,,,
-1.75,-0.25,1970-01-01 01:00:52,,,,,
0.25,4.25,1970-01-01 01:01:02,,,,,
-0.25,-3.75,1970-01-01 01:01:12,1970-01-01 01:01:13,1970-01-01 01:01:36,1,23,24
1.25,-1.75,1970-01-01 01:01:22,,,,,
1.25,-2.25,1970-01-01 01:01:32,,,,,
-0.75,-2.25,1970-01-01 01:01:43,,,,,
-2.25,-2.25,1970-01-01 01:01:53,1970-01-01 01:02:08,1970-01-01 01:02:17,15,9,24
-1.25,-3.25,1970-01-01 01:02:03,,,,,
2.25,4.25,1970-01-01 01:02:13,,,,,
-2.75,2.75,1970-01-01 01:02:23,,,,,
-1.25,-2.75,1970-01-01 01:02:33,,,,,
-1.25,-2.25,1970-01-01 01:02:43,,,,,
4.25,-0.25,1970-01-01 01:02:53,1970-01-01 01:03:20,1970-01-01 01:03:37,27,17,44
-0.75,-0.25,1970-01-01 01:03:03,,,,,
-2.75,2.25,1970-01-01 01:03:13,,,,,
2.25,-1.75,1970-01-01 01:03:23,,,,,
-0.75,0.75,1970-01-01 01:03:33,,,,,
1.75,-4.25,1970-01-01 01:03:44,,,,,
-2.25,-0.75,1970-01-01 01:03:54,,,,,
-0.75,-1.25,1970-01-01 01:04:04,,,,,
2.75,-4.25,1970-01-01 01:04:14,,,,,
2.25,3.75,1970-01-01 01:04:24,,,,,
4.25,-1.25,1970-01-01 01:04:34,,,,,
-1.25,0.25,1970-01-01 01:04:44,,,,,
-2.25,-3.25,1970-01-01 01:04:54,1970-01-01 01:07:45,1970-01-01 01:08:07,171,22,193
-2.75,3.25,1970-01-01 01:05:04,,,,,
1.75,1.25,1970-01-01 01:05:14,,,,,
0.75,-1.25,1970-01-01 01:05:24,,,,,
3.25,-1.75,1970-01-01 01:05:34,,,,,
-0.75,-3.25,1970-01-01 01:05:44,,,,,
2.75,-1.75,1970-01-01 01:05:54,,,,,
-1.25,-1.75,1970-01-01 01:06:05,,,,,
0.25,-3.25,1970-01-01 01:06:15,,,,,
0.75,-2.75,1970-01-01 01:06:25,,,,,
1.25,3.25,1970-01-01 01:06:35,,,,,
0.75,-1.75,1970-01-01 01:06:45,,,,,
-1.75,-0.75,1970-01-01 01:06:55,,,,,
1.75,-1.25,1970-01-01 01:07:05,,,,,
0.75,-4.25,1970-01-01 01:07:15,,,,,
-2.25,-0.25,1970-01-01 01:07:25,,,,,
1.25,-3.25,1970-01-01 01:07:35,,,,,
3.25,-1.25,1970-01-01 01:07:45,,,,,
3.75,-4.25,1970-01-01 01:07:55,,,,,
1.75,-3.25,1970-01-01 01:08:05,,,,,
-2.75,3.75,1970-01-01 01:08:15,,,,,
0.75,2.75,1970-01-01 01:08:25,,,,,
-3.25,0.25,1970-01-01 01:08:35,,,,,
-1.25,-3.75,1970-01-01 01:08:45,,,,,
-2.25,4.25,1970-01-01 01:08:56,,,,,
-1.25,-0.75,1970-01-01 01:09:06,,,,,
1.25,-2.75,1970-01-01 01:09:16,,,,,
-1.25,-0.25,1970-01-01 01:09:26,,,,,
1.75,-1.25,1970-01-01 01:00:02,1970-01-01 01:00:12,1970-01-01 01:00:40,10,28,38
2.25,2.75,1970-01-01 01:00:22,1970-01-01 01:00:28,1970-01-01 01:01:31,6,63,69
-1.25,-3.25,1970-01-01 01:00:32,1970-01-01 01:00:38,1970-01-01 01:01:00,6,22,28
3.75,-0.25,1970-01-01 01:00:42,1970-01-01 01:00:51,1970-01-01 01:01:09,9,18,27
-4.25,-0.25,1970-01-01 01:00:52,,,,,
3.25,3.75,1970-01-01 01:01:13,,,,,
0.25,2.75,1970-01-01 01:01:23,,,,,
-1.25,0.25,1970-01-01 01:01:33,1970-01-01 01:01:47,1970-01-01 01:02:43,14,56,70
-2.25,-2.25,1970-01-01 01:01:43,,,,,
-1.25,-0.25,1970-01-01 01:04:35,,,,,
-2.25,-3.25,1970-01-01 01:08:46,,,,,
0.25,-2.25,1970-01-01 01:02:13,,,,,
-0.75,3.25,1970-01-01 01:02:23,1970-01-01 01:02:35,1970-01-01 01:02:58,12,23,35
-0.75,-4.25,1970-01-01 01:03:34,,,,,
1.25,-3.25,1970-01-01 01:02:44,,,,,
1.25,-1.75,1970-01-01 01:04:24,,,,,
-3.75,3.25,1970-01-01 01:03:04,1970-01-01 01:04:46,1970-01-01 01:05:09,102,23,125
1.25,-1.75,1970-01-01 01:04:24,,,,,
-0.25,0.75,1970-01-01 01:03:44,,,,,
-0.75,-4.25,1970-01-01 01:03:34,,,,,
-0.25,0.75,1970-01-01 01:03:44,,,,,
2.75,0.75,1970-01-01 01:07:36,,,,,
-2.75,-2.25,1970-01-01 01:04:14,,,,,
1.25,-1.75,1970-01-01 01:04:24,,,,,
-1.25,-0.25,1970-01-01 01:04:35,,,,,
-1.25,-1.25,1970-01-01 01:04:45,,,,,
2.25,-3.75,1970-01-01 01:04:55,,,,,
2.25,1.75,1970-01-01 01:05:05,,,,,
-0.75,1.25,1970-01-01 01:07:46,,,,,
2.25,1.25,1970-01-01 01:05:25,,,,,
1.25,-4.25,1970-01-01 01:05:35,,,,,
3.75,2.25,1970-01-01 01:05:45,,,,,
0.25,3.75,1970-01-01 01:05:55,1970-01-01 01:06:35,1970-01-01 01:08:15,40,100,140
-1.25,-2.75,1970-01-01 01:06:05,,,,,
0.75,-0.25,1970-01-01 01:06:15,,,,,
-0.25,4.25,1970-01-01 01:06:25,,,,,
0.75,-0.75,1970-01-01 01:06:35,,,,,
-0.75,-0.75,1970-01-01 01:06:45,1970-01-01 01:07:15,1970-01-01 01:07:35,30,20,50
2.25,-4.25,1970-01-01 01:06:55,,,,,
2.25,4.25,1970-01-01 01:07:06,,,,,
2.25,-0.25,1970-01-01 01:07:16,,,,,
0.75,-2.75,1970-01-01 01:07:26,,,,,
2.75,0.75,1970-01-01 01:07:36,,,,,
-0.75,1.25,1970-01-01 01:07:46,,,,,
0.75,-4.25,1970-01-01 01:07:56,,,,,
0.25,3.25,1970-01-01 01:08:06,,,,,
0.75,2.25,1970-01-01 01:08:16,,,,,
2.75,-1.75,1970-01-01 01:08:26,,,,,
-0.75,-2.25,1970-01-01 01:08:36,,,,,
-2.25,-3.25,1970-01-01 01:08:46,,,,,
4.25,0.75,1970-01-01 01:08:56,,,,,
1.75,0.25,1970-01-01 01:09:06,,,,,
-3.25,2.25,1970-01-01 01:09:16,,,,,
0.75,-1.75,1970-01-01 01:09:36,,,,,
0.25,-1.25,1970-01-01 01:09:46,1970-01-01 01:09:47,,1,,
